id,timestamp,datestamp,business_id,order_source,order_status,external_order_id,external_customer_id,product_source,product_id,variant_id,category,vendor,quantity,price,cost,total
1351064,1711032670,2024-03-21T09:51:10-05:00,1328,Shopify,placed,5457808916672,2118172704883,Shopify,7672417681600,44316193063104,Guatemala,Looking Glass Coffee Store,1,22.5,0,22.5
1351063,1711032670,2024-03-21T09:51:10-05:00,1328,Shopify,placed,5457808916672,2118172704883,Shopify,7350456090816,43159797432512,Insurance,Route,1,3.35,0,3.35
1344801,1710663772,2024-03-17T03:22:52-05:00,1328,Shopify,placed,5451476566208,5428172685504,Shopify,1545689366643,29178360529011,NULL,Looking Glass Coffee Store,1,44.2,0,44.2
1019384,1710489878,2024-03-15T03:04:38-05:00,1291,Shopify,placed,5611082088530,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997637,1710344021,2024-03-13T10:33:41-05:00,1291,Shopify,placed,5608592539730,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,19.5,0,39
997638,1709571576,2024-03-04T10:59:36-06:00,1291,Shopify,placed,5596286681170,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,19.5,0,39
1342585,1709371402,2024-03-02T03:23:22-06:00,1328,Shopify,placed,5431375003840,3029473394803,Shopify,1545686843507,29178367443059,NULL,Looking Glass Coffee Store,1,48.5,0,48.5
1019385,1709280527,2024-03-01T02:08:47-06:00,1291,Shopify,placed,5590949920850,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
997639,1708536871,2024-02-21T11:34:31-06:00,1291,Shopify,placed,5576175419474,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,19.5,0,39
1203285,1708441335,2024-02-20T09:02:15-06:00,1291,Shopify,placed,5574343950418,6737327456338,Shopify,7154315591762,40518615400530,Coffee,Lattitude Coffees,10,12.6,0,126
1019386,1708070692,2024-02-16T02:04:52-06:00,1291,Shopify,placed,5568627474514,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
1203291,1707968996,2024-02-14T21:49:56-06:00,1291,Shopify,placed,5567170379858,6737327456338,Shopify,10327601929,1759271190537,Coffee,Lattitude Coffees,1,19.5,0,19.5
1203290,1707968996,2024-02-14T21:49:56-06:00,1291,Shopify,placed,5567170379858,6737327456338,Shopify,4571641217106,32183792664658,Coffee,Lattitude Coffees,1,21.5,0,21.5
1203289,1707968996,2024-02-14T21:49:56-06:00,1291,Shopify,placed,5567170379858,6737327456338,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,1,19.5,0,19.5
1203288,1707968996,2024-02-14T21:49:56-06:00,1291,Shopify,placed,5567170379858,6737327456338,Shopify,10327601865,1759270862857,Coffee,Lattitude Coffees,1,17,0,17
1203286,1707968996,2024-02-14T21:49:56-06:00,1291,Shopify,placed,5567170379858,6737327456338,Shopify,10327600329,1759259623433,Coffee,Lattitude Coffees,1,18,0,18
1203293,1707324815,2024-02-07T10:53:35-06:00,1291,Shopify,placed,5556554727506,6737327456338,Shopify,7154315591762,40518615400530,Coffee,Lattitude Coffees,3,14,0,42
997640,1707247201,2024-02-06T13:20:01-06:00,1291,Shopify,placed,5555348668498,6013262266450,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,19.5,0,39
1342586,1706941875,2024-02-03T00:31:15-06:00,1328,Shopify,placed,5397136670912,3029473394803,Shopify,1545686843507,29178367443059,NULL,Looking Glass Coffee Store,1,48.5,0,48.5
1019387,1706861046,2024-02-02T02:04:06-06:00,1291,Shopify,placed,5548321177682,3786194190418,Shopify,4552410890322,32099460972626,Coffee,Lattitude Coffees,2,16.65,0,33.3
