iter	RMSE
155	5.280977265
156	5.257574614
157	5.234996243
158	5.211797357
159	5.18814633
160	5.165155059
161	5.142265674
162	5.120188335
163	5.09749822
164	5.074908656
165	5.052419197
166	5.030029401
167	5.007205484
168	4.985016052
169	4.962924953
170	4.940931751
171	4.919724456
172	4.898614879
173	4.877346012
174	4.855732053
175	4.834213876
176	4.812791056
177	4.790063086
178	4.76883592
179	4.747702824
180	4.726663378
181	4.705717169
182	4.684863783
183	4.664600135
184	4.644433587
185	4.623851779
186	4.603870801
187	4.58390175
188	4.563588189
189	4.543364647
190	4.523230726
191	4.503186029
192	4.48323016
193	4.463788124
194	4.444006846
195	4.424313229
196	4.404706885
197	4.385187426
198	4.366174256
199	4.347327612
200	4.328571313
201	4.308926063
202	4.289831057
203	4.271241047
204	4.252313042
205	4.233468916
206	4.214708298
207	4.196030818
208	4.177436107
209	4.159336778
210	4.140904676
211	4.122554257
212	4.104285157
213	4.086097017
214	4.068613773
215	4.050583711
216	4.032633549
217	4.015257202
218	3.997463589
219	3.979319294
220	3.96168494
221	3.944128733
222	3.926650326
223	3.909249374
224	3.891925535
225	3.874678467
226	3.857507829
227	3.840413283
228	3.82387321
229	3.806927716
230	3.790057315
231	3.773742081
232	3.757018742
233	3.740369513
234	3.723794066
235	3.707292072
236	3.690467178
237	3.674112872
238	3.65783104
239	3.641621362
240	3.625483516
241	3.609884297
242	3.593887094
243	3.578332003
244	3.562474624
245	3.546687517
246	3.530970371
247	3.515322876
248	3.499744722
249	3.484235603
250	3.468795212
251	3.453423246
252	3.438119401
253	3.42333686
254	3.408166343
255	3.393063053
256	3.378026694
257	3.363056968
258	3.347794853
259	3.332604195
260	3.317835759
261	3.302783208
262	3.288489667
263	3.273916724
264	3.259408362
265	3.244621521
266	3.23024298
267	3.21559055
268	3.201006664
269	3.186821403
270	3.172370052
271	3.158311694
272	3.144741157
273	3.130805237
274	3.116931073
275	3.102798557
276	3.08936906
277	3.07567852
278	3.062048651
279	3.048479182
280	3.034969846
281	3.021836664
282	3.008445394
283	2.995113468
284	2.981840622
285	2.96831979
286	2.95516568
287	2.942069863
288	2.92903208
289	2.916052074
290	2.902831421
291	2.889967524
292	2.877160632
293	2.864410495
294	2.851716859
295	2.839079476
296	2.826498095
297	2.813685262
298	2.801216415
299	2.788802825
300	2.776162644
301	2.764146777
302	2.75189746
303	2.739425031
304	2.727010864
305	2.714926115
306	2.70289492
307	2.690917041
308	2.678992241
309	2.666853625
310	2.655035463
311	2.643269673
312	2.631556024
313	2.619894283
314	2.608284221
315	2.596725609
316	2.584961379
317	2.573506123
318	2.562364958
319	2.551009838
320	2.539453144
321	2.528199558
322	2.516995841
323	2.506100402
324	2.494994618
325	2.483692097
326	2.472685616
327	2.461727909
328	2.450818762
329	2.439957958
330	2.428906279
331	2.418142581
332	2.407426581
333	2.39675807
334	2.385903553
335	2.375330421
336	2.364574417
337	2.354095805
338	2.343903273
339	2.333516265
340	2.323175287
341	2.312880136
342	2.302630607
343	2.2924265
344	2.282046263
345	2.271933375
346	2.261647332
347	2.251409248
348	2.241432127
349	2.231499221
350	2.221398977
351	2.211345805
352	2.201546226
353	2.191790073
354	2.181872232
355	2.172203265
356	2.162375371
357	2.152792805
358	2.143252703
359	2.133754879
360	2.124299144
361	2.114885312
362	2.105513197
363	2.096182615
364	2.086893382
365	2.077645314
366	2.068246493
367	2.059081058
368	2.049767459
369	2.040683914
370	2.031640623
371	2.022637408
372	2.01367409
373	2.004750493
374	1.995866441
375	1.986839972
376	1.97803529
377	1.969269627
378	1.960542808
379	1.951854663
380	1.94302841
381	1.934417879
382	1.925845506
383	1.917138016
384	1.908471037
385	1.900013648
386	1.891425213
387	1.883043362
388	1.874698655
389	1.866390928
390	1.858120016
391	1.849722048
392	1.841525005
393	1.833364287
394	1.825239733
395	1.817151183
396	1.809098477
397	1.801081457
398	1.793099964
399	1.785153842
400	1.777242932
401	1.76936708
402	1.761526129
403	1.753719926
404	1.745948316
405	1.738211146
406	1.730356145
407	1.722688071
408	1.714904233
409	1.707304635
410	1.699738714
411	1.692206322
412	1.684707309
413	1.677241529
414	1.669808833
415	1.662264905
416	1.654756032
417	1.647282044
418	1.639982113
419	1.632575808
420	1.625203898
421	1.618001807
422	1.610831632
423	1.603693231
424	1.596452669
425	1.589377988
426	1.582202975
427	1.575061263
428	1.568081379
429	1.561132426
430	1.554086717
431	1.547199782
432	1.540343366
433	1.533517334
434	1.526721552
435	1.519955885
436	1.513096885
437	1.506391596
438	1.499716021
439	1.49307003
440	1.48645349
441	1.479866271
442	1.473308243
443	1.466779278
444	1.460279245
445	1.453690377
446	1.447248348
447	1.440834867
448	1.434449807
449	1.428093043
450	1.421650214
451	1.415350171
452	1.408965635
453	1.402721804
454	1.396505642
455	1.390317027
456	1.384155837
457	1.37802195
458	1.371915246
459	1.365835603
460	1.359782903
461	1.353757025
462	1.347651098
463	1.341573472
464	1.335628289
465	1.329709452
466	1.323816845
467	1.31795035
468	1.312109853
469	1.306295238
470	1.300506391
471	1.294642111
472	1.288904905
473	1.283193122
474	1.277407634
475	1.271746802
476	1.266013634
477	1.260403294
478	1.254817817
479	1.249257092
480	1.243626009
481	1.23811488
482	1.232628174
483	1.227165782
484	1.221727597
485	1.216313511
486	1.210923417
487	1.205465801
488	1.200123779
489	1.194805431
490	1.18951065
491	1.184239334
492	1.178991377
493	1.173766677
494	1.16856513
495	1.163386633
496	1.158231085
497	1.153098384
498	1.147988428
499	1.142901118
500	1.137836351
501	1.132794029
502	1.127774052
503	1.122776322
504	1.117800738
505	1.112847204
506	1.107915622
507	1.103005893
508	1.098117923
509	1.093251613
510	1.088324951
511	1.083502039
512	1.078700499
513	1.073920238
514	1.06916116
515	1.064423173
516	1.059627015
517	1.054931278
518	1.050178475
519	1.045524609
520	1.040891366
521	1.036278656
522	1.031686387
523	1.027114469
524	1.022562811
525	1.017956403
526	1.013445329
527	1.008954246
528	1.004483066
529	0.9999586573
530	0.9955273404
531	0.9911156609
532	0.9867235317
533	0.9823508663
534	0.9779975783
535	0.973663582
536	0.9693487917
537	0.9650531224
538	0.9607764894
539	0.9565188083
540	0.9522799951
541	0.9480599662
542	0.9438586384
543	0.9396759287
544	0.9354439431
545	0.9312985232
546	0.9271714737
547	0.9229963133
548	0.918906055
549	0.9148339228
550	0.9107148212
551	0.9066147644
552	0.9025336609
553	0.8985340829
554	0.894552229
555	0.890525912
556	0.8865795463
557	0.8825895957
558	0.8786783998
559	0.8747845364
560	0.8709079286
561	0.8670485001
562	0.8632061745
563	0.8593808763
564	0.8555725299
565	0.8517225869
566	0.8479481782
567	0.8441330028
568	0.8403354491
569	0.8366115025
570	0.8329040585
571	0.8291574704
572	0.825483059
573	0.8218249308
574	0.8181830135
575	0.8145572354
576	0.8108936139
577	0.8072469059
578	0.8036695911
579	0.8001081292
580	0.79656245
581	0.7930324834
582	0.7895181599
583	0.7860194101
584	0.782536165
585	0.7790174043
586	0.7755148832
587	0.7720781889
588	0.7686567243
589	0.7652011964
590	0.7618102072
591	0.7584342452
592	0.7550732438
593	0.7517271366
594	0.7483958578
595	0.7450793414
596	0.7417775223
597	0.7384432267
598	0.7351708154
599	0.7319129059
600	0.7286694338
601	0.7254403351
602	0.7222255462
603	0.7190250036
604	0.7157933637
605	0.7126213253
606	0.7094633439
607	0.706319357
608	0.7031451979
609	0.7000292099
610	0.6969270304
611	0.6938385982
612	0.6907638523
613	0.6877027323
614	0.6846551775
615	0.681621128
616	0.6785583232
617	0.6755096405
618	0.6725161195
619	0.6695358643
620	0.666568816
621	0.6636149162
622	0.6606741067
623	0.6577463293
624	0.6548315264
625	0.6519296404
626	0.6490009422
627	0.6460857438
628	0.6431839808
629	0.6403337109
630	0.637496072
631	0.6346710081
632	0.6318584635
633	0.6290583826
634	0.6262707103
635	0.6234953916
636	0.6207323717
637	0.6179448053
638	0.6151700823
639	0.6124439561
640	0.6097299106
641	0.6069923949
642	0.604302508
643	0.6016245414
644	0.5989584422
645	0.5962696016
646	0.5936272328
647	0.5909965737
648	0.5883775723
649	0.585770177
650	0.5831743364
651	0.5805899993
652	0.5780171146
653	0.5754556317
654	0.5729055001
655	0.5703339164
656	0.5678064816
657	0.5652902471
658	0.5627531417
659	0.5602593011
660	0.5577765119
661	0.5553047252
662	0.5528438923
663	0.5503939645
664	0.5479548936
665	0.5455266315
666	0.5431091301
667	0.540702342
668	0.5382758733
669	0.5358605747
670	0.5334859085
671	0.5311217657
672	0.5287680995
673	0.5264248636
674	0.5240630163
675	0.5217120386
676	0.5194000716
677	0.5170702825
678	0.5147788854
679	0.5124976428
680	0.5102265094
681	0.5079654406
682	0.5057143917
683	0.5034733183
684	0.5012421762
685	0.4990209215
686	0.4968095102
687	0.4946078988
688	0.492389573
689	0.4902075486
690	0.488009213
691	0.4858466001
692	0.4836935708
693	0.4815500827
694	0.4793908214
695	0.4772664009
696	0.4751513948
697	0.4730457614
698	0.470949459
699	0.4688624464
700	0.4667846825
701	0.4647161261
702	0.4626567365
703	0.4606064732
704	0.4585652955
705	0.4565331634
706	0.4545100366
707	0.4524958753
708	0.4504906398
709	0.4484942905
710	0.446506788
711	0.4445048916
712	0.4425350681
713	0.4405739739
714	0.4386215703
715	0.4366552541
716	0.4347202163
717	0.4327937536
718	0.4308758281
719	0.4289664018
720	0.4270435911
721	0.4251511474
722	0.4232670901
723	0.4213913819
724	0.419523986
725	0.4176648654
726	0.4158139835
727	0.4139713038
728	0.4121367899
729	0.4103104057
730	0.4084714313
731	0.4066409101
732	0.4048388809
733	0.4030448373
734	0.4012587441
735	0.3994805659
736	0.3977102678
737	0.3959478147
738	0.3941931719
739	0.3924463048
740	0.390707179
741	0.3889757601
742	0.387252014
743	0.3855359066
744	0.3838274042
745	0.382126473
746	0.3804330795
747	0.3787471903
748	0.3770687721
749	0.3753791732
750	0.3736973389
751	0.3720412991
752	0.3703925981
753	0.3687512032
754	0.3671170822
755	0.3654902029
756	0.363870533
757	0.3622580407
758	0.3606526941
759	0.3590544617
760	0.3574633118
761	0.3558792131
762	0.3543021343
763	0.3527149155
764	0.3511518593
765	0.3495957298
766	0.3480464963
767	0.3465041282
768	0.3449685951
769	0.3434233668
770	0.3419014861
771	0.3403863496
772	0.3388779275
773	0.3373761899
774	0.3358811073
775	0.3343926502
776	0.3328949672
777	0.3314197431
778	0.3299355459
779	0.3284734365
780	0.3270026027
781	0.3255534906
782	0.3241108003
783	0.3226745033
784	0.3212445712
785	0.3198209758
786	0.3184036891
787	0.3169926832
788	0.31558793
789	0.3141894021
790	0.3127826907
791	0.3113824384
792	0.3099886147
793	0.3086149001
794	0.3072336231
795	0.3058721172
796	0.3045166449
797	0.3031671794
798	0.3018104406
799	0.3004729676
800	0.2991284403
801	0.2978028526
802	0.2964831392
803	0.2951692742
804	0.2938612315
805	0.2925589854
806	0.2912625103
807	0.2899717804
808	0.2886867704
809	0.2873951311
810	0.2861215395
811	0.2848535919
812	0.2835792491
813	0.2823225677
814	0.2810714552
815	0.2798141767
816	0.2785741802
817	0.2773282155
818	0.2760992354
819	0.2748757017
820	0.27365759
821	0.2724448763
822	0.2712375368
823	0.2700355477
824	0.2688388851
825	0.2676475256
826	0.2664614455
827	0.2652697936
828	0.2640942504
829	0.2629239168
830	0.2617587694
831	0.2605882828
832	0.2594334858
833	0.2582838063
834	0.257128991
835	0.2559895239
836	0.2548551063
837	0.2537257158
838	0.2526013303
839	0.2514819275
840	0.2503674853
841	0.2492481933
842	0.2481436499
843	0.2470440013
844	0.2459492258
845	0.2448593018
846	0.2437742077
847	0.2426939223
848	0.2416184242
849	0.2405476921
850	0.239481705
851	0.2384112019
852	0.2373456065
853	0.2362938094
854	0.2352466734
855	0.2342041777
856	0.2331663019
857	0.2321330254
858	0.2311043279
859	0.230080189
860	0.2290605886
861	0.2280369041
862	0.2270263585
863	0.2260118818
864	0.2250103101
865	0.2240131769
866	0.2230204625
867	0.2220240009
868	0.2210401015
869	0.2200526019
870	0.2190696271
871	0.2180988201
872	0.2171323151
873	0.2161700933
874	0.2152121355
875	0.2142508939
876	0.213301441
877	0.2123561957
878	0.2114151392
879	0.2104782529
880	0.2095455185
881	0.2086169176
882	0.2076852409
883	0.2067648837
884	0.2058486051
885	0.204936387
886	0.2040282113
887	0.2031240603
888	0.202223916
889	0.2013277607
890	0.2004355767
891	0.1995405409
892	0.198656277
893	0.1977759317
894	0.1968994876
895	0.1960203436
896	0.1951516794
897	0.1942804399
898	0.1934131904
899	0.1925560798
900	0.1916966271
901	0.1908471235
902	0.1900013844
903	0.1891593933
904	0.1883211334
905	0.1874865883
906	0.1866557415
907	0.1858285765
908	0.1850050772
909	0.1841852272
910	0.1833782028
911	0.1825655623
912	0.1817507181
913	0.1809452897
914	0.1801434307
915	0.179345125
916	0.1785503571
917	0.1777535262
918	0.1769658114
919	0.1761815874
920	0.1754008387
921	0.1746235499
922	0.1738497056
923	0.1730792906
924	0.1723122897
925	0.1715486878
926	0.1707884698
927	0.1700400843
928	0.1692865517
929	0.1685363583
930	0.1677894894
931	0.1670406973
932	0.1663004565
933	0.165563496
934	0.1648298013
935	0.164099358
936	0.1633721517
937	0.162648168
938	0.1619354645
939	0.1612178475
940	0.1605034106
941	0.1597921397
942	0.1590840208
943	0.15837904
944	0.1576771832
945	0.1569784368
946	0.1562827868
947	0.1555853598
948	0.1548958832
949	0.1542047255
950	0.1535213672
951	0.1528410373
952	0.1521637222
953	0.1514894087
954	0.1508180833
955	0.150149733
956	0.1494843444
957	0.1488219045
958	0.148169733
959	0.1475131189
960	0.1468549169
961	0.1462113755
962	0.1455634398
963	0.1449183754
964	0.1442717642
965	0.1436324238
966	0.1429959167
967	0.1423622303
968	0.1417313521
969	0.1411032696
970	0.1404779704
971	0.1398554423
972	0.1392356729
973	0.13861865
974	0.1380043614
975	0.1373927951
976	0.1367798333
977	0.1361803934
978	0.13557691
979	0.1349761009
980	0.1343739329
981	0.1337850462
982	0.1331921777
983	0.1326019366
984	0.1320143111
985	0.1314253682
986	0.1308429566
987	0.1302631261
988	0.129685865
989	0.1291111621
990	0.128539006
991	0.1279693853
992	0.127402289
993	0.1268377057
994	0.1262756244
995	0.125716034
996	0.1251650988
997	0.1246067225
998	0.1240545278
999	0.1235011701
